index,distance,narrative,time,direction,directionName,signs,maneuverNotes,formattedTime,transportMode,startPoint,turnType,attributes,iconUrl,streets,mapUrl
0,0.0385,Head southeast on Via Vittorio Emanuele Orlando. Go for 203 ft.,11,5,Southeast,[],[],00:00:11,car,"{'lat': 41.903252, 'lng': 12.495633}",0,0,,['Via Vittorio Emanuele Orlando'],"https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.903252,12.495633|marker-1||41.90276,12.495960000000002|marker-2||&center=41.903006000000005,12.4957965&defaultMarker=none&zoom=16&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
1,0.1224,Take the 2nd exit from Piazza della Repubblica roundabout onto Via delle Terme di Diocleziano. Go for 0.1 mi.,28,5,Southeast,[],[],00:00:28,car,"{'lat': 41.90276, 'lng': 12.495960000000002}",28,0,,"['Piazza della Repubblica', 'Via delle Terme di Diocleziano']","https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.90276,12.495960000000002|marker-2||41.90158999999998,12.497549999999997|marker-3||&center=41.902174999999986,12.496755&defaultMarker=none&zoom=16&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
2,0.128,Keep right onto Via Giovanni Amendola. Go for 0.1 mi.,36,5,Southeast,[],[],00:00:36,car,"{'lat': 41.90158999999998, 'lng': 12.497549999999997}",16,0,,"['Via delle Terme di Diocleziano', 'Via Giovanni Amendola']","https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.90158999999998,12.497549999999997|marker-3||41.90029999999997,12.499259999999994|marker-4||&center=41.90094499999998,12.498404999999995&defaultMarker=none&zoom=15&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
3,0.1895,Turn right onto Via Camillo Benso di Cavour. Go for 0.2 mi.,49,6,Southwest,[],[],00:00:49,car,"{'lat': 41.90029999999997, 'lng': 12.499259999999994}",2,0,,"['Via Camillo Benso di Cavour', ""Piazza dell'Esquilino""]","https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.90029999999997,12.499259999999994|marker-4||41.89817999999996,12.496929999999994|marker-5||&center=41.89923999999996,12.498094999999994&defaultMarker=none&zoom=15&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
4,0.1162,Turn left onto Piazza dell'Esquilino. Go for 0.1 mi.,22,5,Southeast,[],[],00:00:22,car,"{'lat': 41.89817999999996, 'lng': 12.496929999999994}",6,0,,"[""Piazza dell'Esquilino"", 'Via Liberiana']","https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.89817999999996,12.496929999999994|marker-5||41.89696999999996,12.498459999999989|marker-6||&center=41.89757499999996,12.497694999999991&defaultMarker=none&zoom=16&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
5,0.0429,Continue on Piazza di Santa Maria Maggiore. Go for 226 ft.,12,8,East,[],[],00:00:12,car,"{'lat': 41.89696999999996, 'lng': 12.498459999999989}",0,0,,['Piazza di Santa Maria Maggiore'],"https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.89696999999996,12.498459999999989|marker-6||41.89687999999997,12.499259999999989|marker-7||&center=41.89692499999997,12.49885999999999&defaultMarker=none&zoom=16&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
6,0.7338,Turn right onto Via Merulana. Go for 0.7 mi.,178,5,Southeast,[],[],00:02:58,car,"{'lat': 41.89687999999997, 'lng': 12.499259999999989}",2,0,,"['Via Merulana', 'Largo Brancaccio']","https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.89687999999997,12.499259999999989|marker-7||41.88704999999998,12.504659999999987|marker-8||&center=41.89196499999997,12.501959999999988&defaultMarker=none&zoom=13&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
7,0.0615,Turn left onto Piazza Giovanni Paolo II. Go for 325 ft.,19,8,East,[],[],00:00:19,car,"{'lat': 41.88704999999998, 'lng': 12.504659999999987}",6,0,,"['Piazza di San Giovanni in Laterano', 'Piazza Giovanni Paolo II']","https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.88704999999998,12.504659999999987|marker-8||41.887149999999984,12.505809999999984|marker-9||&center=41.88709999999998,12.505234999999985&defaultMarker=none&zoom=16&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
8,0.1379,Continue on Piazza di Porta San Giovanni. Go for 0.1 mi.,22,8,East,[],[],00:00:22,car,"{'lat': 41.887149999999984, 'lng': 12.505809999999984}",0,0,,['Piazza di Porta San Giovanni'],"https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.887149999999984,12.505809999999984|marker-9||41.88641999999999,12.508289999999985|marker-10||&center=41.88678499999999,12.507049999999985&defaultMarker=none&zoom=15&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
9,0.0404,Turn right onto Piazza di Porta San Giovanni. Go for 213 ft.,8,5,Southeast,[],[],00:00:08,car,"{'lat': 41.88641999999999, 'lng': 12.508289999999985}",2,0,,['Piazza di Porta San Giovanni'],"https://www.mapquestapi.com/staticmap/v5/map?key=UA1832uKb6ezhsZMb6cAFh4vRJwRD3Cv&size=225,160&locations=41.88641999999999,12.508289999999985|marker-10||41.88609999999999,12.508929999999985|marker-11||&center=41.88625999999999,12.508609999999985&defaultMarker=none&zoom=16&session=AJsA5wcAAC4BAAAPAAAAMAAAAK0AAAB42mNYy8DAyMTAwMCekVqUapWcW-C7jRPIZXjBqb6Wa8KhRx1_Hc7E7gDSoo5nYhmwAJjG4D09uiC-__JsYwbTSSydeSW7YxWA9AQgzYAD-L2x5nBiBDJSJzSktag4-PA4Sjh4OipwCDZ1MghOaJnAKCDIVODgAFKrwLKAgQEACvAnvxN8oD0:car"
